#
#  conversion from RegDef.txt for
#   input design        = generic
#   input design level  = 2
#

SECTION BITS

#design    dlevel   dir  reg_name                         field_name                                         format  ext_addr   rw           startbit  numbits  scope      rlm_name                                           clk_type  scanring  reset_val                                                              reset_sig  parity  pulse  reg_name_txt                                       description                                                                                        
#========= ======== ==== ================================ ================================================== ======= ========== ============ ========= ======== ========== ================================================== ========= ========= ====================================================================== ========== ======= ====== ================================================== =================================================================================================== 
generic    2        tx   tx_fir_pl                        tx_pl_fir_errs                                     gcr     010000000  ROX          0         2        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      00                                                                     fir_reset  no      na     Register                                           "A 1 in this field indicates that a register or state machine parity error has occurred in per-lane logic.\n0:No FIR error.\n1:par_err_tx_databit_regs"
generic    2        tx   tx_fir_mask_pl                   tx_pl_fir_errs_mask                                gcr     010000001  RWX          0         2        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      00                                                                     ioreset    yes     na     Register                                           "FIR mask for all per-lane register or per-lane state machine parity errors.\n0:FIR error unmasked.\n1:par_err_mask_tx_databit_regs"
generic    2        tx   tx_fir_error_inject_pl           tx_pl_fir_err_inj                                  gcr     010000010  RWX          0         2        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      00                                                                     fir_reset  yes     na     Register                                           "TX Per-Lane Parity Error Injection\nAllows injection of non-destructive parity errors in either register or statemachine latch banks. The register or state value is not affected.\n0:(no_par_err) No parity errors being injected.\n1:(inj_par_err) Causes a parity flip in the specific parity checker"
generic    2        tx   tx_mode1_pl                      tx_lane_invert                                     gcr     010000011  RWX          0         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Used to invert the polarity of a lane.\n0:(normal) Normal Lane Polarity (default)\n1:(inverted) Lane Inverted."
generic    2        tx   tx_mode1_pl                      tx_lane_quiesce                                    gcr     010000011  RWX          1         2        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      00                                                                     ioreset    yes     na     Register                                           "Used to force the output of a lane to a particular logical value.\n00:(functional) Functional Data (default)\n01:(quiesce_to_0) Quiesce Lane to a Static 0 value\n10:(quiesce_to_1) Quiesce Lane to a Static 1 value\n11:(quiesce_to_z) Tri-State Lane Output."
generic    2        tx   tx_mode1_pl                      tx_main_pkg_en                                     gcr     010000011  RWX          3         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Enable main peaking.\n0:(disabled) Main peaking disabled (default)\n1:(enabled) Main peaking enabled."
generic    2        tx   tx_mode1_pl                      tx_ffe_pkg_en                                      gcr     010000011  RWX          4         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Enable FFE peaking.\n0:(disabled) FFE peaking disabled (default)\n1:(enabled) FFE peaking enabled."
generic    2        tx   tx_mode1_pl                      tx_psave_req_dis                                   gcr     010000011  RWX          5         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Disable TX slice power gating from link layer psav_req control"                                    
generic    2        tx   tx_mode1_pl                      tx_err_inj_A_enable                                gcr     010000011  RWX          6         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Control to enable the random bit error injection pattern A for this lane.(default)\n0:(disabled) Pattern A error injection is masked for this lane. \n1:(enabled) Pattern A error injection is enabled for this lane."
generic    2        tx   tx_mode1_pl                      tx_err_inj_B_enable                                gcr     010000011  RWX          7         1        per-lane   "ioorc_tx_data_bit_regs"                           slow      func      0                                                                      ioreset    yes     na     Register                                           "Control to enable the random bit error injection pattern B for this lane.(default)\n0:(disabled) Pattern B error injection is masked for this lane. \n1:(enabled) Pattern B error injection is enabled for this lane."
